ch,2026,2025
Riverwood,里弗伍德,Riverwood
Holsworthy,霍尔斯沃西,Holsworthy
East Hills,东山,East Hills
Panania,帕纳尼亚,Panania
Padstow,帕德斯托,Padstow
Narwee,纳威,Narwee
Carlton,卡尔顿,Carlton
Glenfield,格伦菲尔德,Glenfield
Allawah,阿拉瓦,Allawah
Leppington,莱平顿,Leppington
Edmondson Park,埃德蒙森公园,Edmondson Park
Hurstville,好市围,Hurstville
Macquarie Fields,麦考瑞菲尔兹,Macquarie Fields
Penshurst,彭斯赫斯特,Penshurst
Mortdale,莫特代尔,Mortdale
Ingleburn,英格尔本,Ingleburn
Oatley,奥特利,Oatley
Minto,明托,Minto
Como,科莫,Como
Leumeah,卢米亚,Leumeah
Jannali,贾纳利,Jannali
Sutherland,萨瑟兰,Sutherland
Campbelltown,坎贝尔敦,Campbelltown
Kirrawee,基拉威,Kirrawee
Gymea,吉米亚,Gymea
Miranda,米兰达,Miranda
Caringbah,卡林巴,Caringbah
Woolooware,伍卢瓦雷,Woolooware
Cronulla,克罗努拉,Cronulla
Loftus,洛夫特斯,Loftus
Macarthur,麦克阿瑟,Macarthur
Engadine,恩加丁,Engadine
Heathcote,希思科特,Heathcote
Waterfall,沃特福尔,Waterfall
